Source,Target,Weight
Black Panther / T'chal,Loki [asgardian],10
Black Panther / T'chal,Mantis / ? Brandt,23
Black Panther / T'chal,Iceman / Robert Bobby,12
Black Panther / T'chal,Marvel Girl / Jean Grey,10
Black Panther / T'chal,Cyclops / Scott Summer,14
Black Panther / T'chal,Klaw / Ulysses Klaw,17
Black Panther / T'chal,Human Torch / Johnny S,44
Ghaur [deviant],Black Panther / T'chal,6
Dr. Doom / Victor Von,Black Panther / T'chal,17
Storm / Ororo Munroe S,Black Panther / T'chal,13
Scarlet Witch / Wanda,Black Panther / T'chal,108
Toad / Mortimer Toynbe,Black Panther / T'chal,5
Hulk / Dr. Robert Bruce Banner,Black Panther / T'chal,27
Firestar / Angelica Jo,Black Panther / T'chal,13
Wonder Man / Simon Wil,Black Panther / T'chal,51
Drax / Arthur Douglas,Black Panther / T'chal,6
Dugan, Timothy Aloyi,Black Panther / T'chal,9
Carter, Sharon,Black Panther / T'chal,7
Black Knight V / Dane,Black Panther / T'chal,23
Sunfire / Shiro Yoshid,Black Panther / T'chal,5
Triton,Black Panther / T'chal,9
Ultron,Black Panther / T'chal,15
Jones, Richard Milho,Black Panther / T'chal,16
Iron Man / Tony Stark,Black Panther / T'chal,120
Nelson, Franklin Fog,Black Panther / T'chal,7
Captain America,Black Panther / T'chal,131
Jarvis, Edwin,Black Panther / T'chal,55
Quasar Iii / Wendell V,Black Panther / T'chal,20
Jameson, J. Jonah,Black Panther / T'chal,7
Masters, Alicia Reis,Black Panther / T'chal,5
Magneto / Magnus / Eric,Black Panther / T'chal,7
Invisible Woman / Sue,Black Panther / T'chal,39
Professor X / Charles,Black Panther / T'chal,9
Iron Fist / Daniel Ran,Black Panther / T'chal,7
Black Bolt / Blackanto,Black Panther / T'chal,15
Hawk,Black Panther / T'chal,95
Sandman / William Bake,Black Panther / T'chal,5
Falcon / Sam Wilson,Black Panther / T'chal,18
Stingray / Dr. Walter,Black Panther / T'chal,6
Justice Ii / Vance Ast,Black Panther / T'chal,14
Hercules [greek God],Black Panther / T'chal,28
Usagent / Captain John,Black Panther / T'chal,5
Captain Marvel Ii / Mo,Black Panther / T'chal,8
Crystal [inhuman],Black Panther / T'chal,28
Tigra / Greer Nelson,Black Panther / T'chal,16
Spider-woman Ii / Juli,Black Panther / T'chal,5
Machine Man / X-51,Black Panther / T'chal,8
Mockingbird / Dr. Barb,Black Panther / T'chal,6
Captain Marvel / Capta,Black Panther / T'chal,15
Wasp / Janet Van Dyne,Black Panther / T'chal,84
Fury, Col. Nicholas,Black Panther / T'chal,18
Thor / Dr. Donald Blak,Black Panther / T'chal,103
Quicksilver / Pietro M,Black Panther / T'chal,48
Captain Britain / Bria,Black Panther / T'chal,5
Shadowcat / Katherine,Black Panther / T'chal,5
Black Widow / Natasha,Black Panther / T'chal,44
Ant-man / Dr. Henry J.,Black Panther / T'chal,86
Moon Knight / Marc Spe,Black Panther / T'chal,6
Jocasta,Black Panther / T'chal,10
Moondragon / Heather D,Black Panther / T'chal,21
Thing / Benjamin J. Gr,Black Panther / T'chal,49
Beast / Henry &hank& P,Black Panther / T'chal,44
Iron Man / Tony Stark,Mephisto,11
Iron Man / Tony Stark,Nova / Richard Rider,17
Iron Man / Tony Stark,Wrecker Iii / Dirk Gar,7
Iron Man / Tony Stark,Warlock Ii / Adam Warl,11
Iron Man / Tony Stark,Jack Of Hearts / Jack,20
Iron Man / Tony Stark,Piledriver Ii / Brian,6
Iron Man / Tony Stark,Thunderball / Dr. Elio,7
