Source,Target,Weight
Black Panther / T'chal,Loki [asgardian],10
Ghaur [deviant],Black Panther / T'chal,6
Dr. Doom / Victor Von,Black Panther / T'chal,17
Storm / Ororo Munroe S,Black Panther / T'chal,13
Scarlet Witch / Wanda,Black Panther / T'chal,108
Toad / Mortimer Toynbe,Black Panther / T'chal,5
Hulk / Dr. Robert Bruce Banner,Black Panther / T'chal,27
Firestar / Angelica Jo,Black Panther / T'chal,13
Wonder Man / Simon Wil,Black Panther / T'chal,51
Drax / Arthur Douglas,Black Panther / T'chal,6
Dugan, Timothy Aloyi,Black Panther / T'chal,9
Carter, Sharon,Black Panther / T'chal,7
Black Knight V / Dane,Black Panther / T'chal,23
Sunfire / Shiro Yoshid,Black Panther / T'chal,5
Black Panther / T'chal,Iceman / Robert Bobby,12
Black Panther / T'chal,Marvel Girl / Jean Grey,10
Black Panther / T'chal,Cyclops / Scott Summer,14
Triton,Black Panther / T'chal,9
Ultron,Black Panther / T'chal,15
